nyu_id,name
1,""
2,Elect Mia J Johnson Sullivan County Commission Campaign Committee. Treasurer: Anita Morrell
3,Randy Heimler for School Board District 4
4,"Your Parkers, C. Parker, Treasurer"
5,Christopher Mills
6,"Denise Horland, Nonpartisan, Candidate for Plantation City Council Group 2"
7,Vote Rigler
8,Nyberg for State House
9,the Show-Me Institute 
10,Washington Education Association   
11,Committee to Elect Judge Bob Vance
12,The Church of Stop Shopping
13,Community Health Coalition
14,Joe Adams For Missouri Nancy Shulze Adams Treasure
15,Townhall Media 
16,"Cathy Tilton for State House PO Box 871753 Wasilla, AK 99687"
17,TeeSaid
18,Chalon Kintzley for Larimer County Commissioner District 1
19,Schwartz for HD 23
20,"The Winners, LLC"
21,Wyoming Hunters and Anglers Alliance 501 (c) (4)
22,Asheesh Dewan
23,Friends of Wes Revels for Sheriff
24,This ad is paid for by Ohioans for Affordable Prescriptions. 
25,COMMITTEE TO ELECT WEBER SHERIFF
26,Urie For State Rep
27,Equality Now
28,Citizens Clean Elections Commission
29,Fight for $15 
30,Friends of Marcy Toepel
31,Brian Hobbs for Oklahoma House District 38
32,Political advertisement paid for by the Southern Alliance for Clean Energy.
33,John Boccieri for Ohio Committee
34,the Committee to Elect Matt Allen
35,Growth Energy.
36,Empire State 32BJ SEIU PAC
37,"Michigan Regional Council of Carpenters, Operating Engineers 324 and Michigan Laborers District Council "
38,Friends of Gina Raimondo.
39,Glen Dean for Congress
40,RIchardson for Governor 2018
41,"Ainsworth Hunt, Father of John Hunt, whose Civil Rights were deprived by Judge Victor Lee Miller. I paid for this post to be boosted on Facebook."
42,Friends of Lindsy Judd
43,Harpootlian for Senate
44,Larsen Jay for Knox County Commission
45,The Friends of John Dyce for State Representative
46,Common Cause Georgia
47,Faith in Action Fund
48,"the committee to Re-elect Randall Hutto for County Mayor. LouAnn Hutto, treasurer."
49,Personally by Matthew Molyett
50,Brad Bates
51,Elkins Committee
52,Billy Long for Congress
53,Randell Stroud 
54,"The Committee to Elect Steve Butz, Ted Hartzler, Treasurer"
55,Unite Here Tip State and Local Fund Nevada
56,Citizens for Nicole Alt-Myers
57,"Jefferson County Democratic Party, Box 10522, Birmingham 35202"
58,MPower Change
59,Greene 4 Mayor
60,Friends of Joshua Evans
61,Butler Rural Electric Cooperative 
62,"Amol Jethwani, Democrat for State Representative District 21"
63,Discovery Institute
64,Friends of David Norton
65,Mad Dog Political Action Committee
66,Jim Bradley for Salt Lake County Council
67,Burke for Tulsa County Assessor 2018
68,"Paid for by San Bernardino County Sheriff's Employees' Benefit Association, for Steinorth and Hagman – Supervisor, Ramos – DA, Valdez – Auditor, McMahon – Sheriff 2018. Not authorized by a candidate or a committee controlled by a candidate."
69,Committee to Elect Jason Anavitarte
70,"Friends of MIchele Gregory, Treasurer: Natasha Donoway"
71,Friends of Faber
72,People United for Privacy
73,McSally for Senate
74,Rafael Perez for Community College Board 2018 FPPC I.D. #1399341
75,"Friends of Mary Kay Sigaty, Hong Brereton, Treasurer"
76,"Friends OF Dale Lane, Mark White, Treasurer"
77,Boyer for Senate.
78,"S.A.F.E. Sustainable Action Fund for the Environment, POB 790538, Paia HI 96779  Not approved or authorized by any political candidate or candidate committee.  The top contributor for this advertisement is S.A.F.E. Sustainable Action Fund for the Environment, a 501(c)4. "
79,Committee to Elect John Motsinger Jr
80,Jordan B. Rickards
81,Fontana Democratic Club #861370
82,WeThePeopleHolsters 
83,"Idahoans for Healthcare, Dr. Bruce Belzer Treasurer"
84,The Committee to Elect Julie Jordan
85,DeSmog
86,Cathy Glasson for Governor
87,"Edward J. Miles, a resident and citizen of the United States"
88,"Friends of Billy Shreve, Angela L. Gregory, Treasurer."
89,Eduardo Soto PA & Eduardo Soto & Associates 
90,Committee to elect Mike Whiting
91,Taylor Venus for House 2018
92,the Campaign to Elect Jake Ware
93,CMTE Calandra Vargas
94,Dan Newhouse for Congress
95,"Chad Story for District 4 - James Hanson, Treasurer"
96,Friends of Kaleiaina
97,Daniel Bell
98,"Friends of Kim Coco P.O. BOX 22136 Honolulu, HI 96823"
