demo_id,value,nyu_snapshot_id,max_impressions,min_impressions
12,,4838040,200,0
14,,4838040,170,0
2,,4838040,10,0
1,,4838040,60,0
3,,4838040,50,0
17,,4838040,10,0
20,,4659736,1100,220
21,,4659736,100,20
19,,4659736,50,10
12,,2692482,1000,500
14,,2692482,500,250
20,,2692482,1000,500
21,,2692482,600,300
7,,2692482,900,450
9,,2692482,600,300
1,,2692482,700,350
3,,2692482,600,300
18,,2692482,800,400
15,,2692482,1100,550
16,,2692482,600,300
13,,2692482,1000,500
18,,4881947,170,0
15,,4881947,120,0
6,,4881947,20,0
18,,4917569,1500,300
15,,4917569,1350,270
6,,4917569,50,10
12,,5014129,1650,330
14,,5014129,400,80
2,,5014129,50,10
16,,4698139,30,0
13,,4698139,10,0
4,,4698139,10,0
20,,4867518,70,0
21,,4867518,10,0
19,,4867518,10,0
12,,4579352,50,0
14,,4579352,340,0
2,,4579352,10,0
20,,4710043,80,0
21,,4710043,150,0
19,,4710043,10,0
16,,4710043,20,0
13,,4710043,70,0
4,,4710043,10,0
12,,4843023,20,0
14,,4843023,210,0
2,,4843023,10,0
7,,4843023,10,0
9,,4843023,300,0
5,,4843023,10,0
7,,2425303,2000,400
9,,2425303,11500,2300
1,,2425303,2000,400
3,,2425303,14500,2900
18,,2425303,1000,200
15,,2425303,10000,2000
16,,2425303,500,100
13,,2425303,3000,600
8,,2425303,500,100
11,,2425303,1000,200
20,,4824879,50,0
21,,4824879,300,0
19,,4824879,10,0
12,,3938499,70,0
7,,3938499,70,0
9,,3938499,230,0
3,,3938499,150,0
18,,3938499,150,0
15,,3938499,300,0
18,,4854436,150,0
15,,4854436,50,0
6,,4854436,10,0
19,,4852646,10,0
18,,4656457,500,0
15,,4656457,70,0
6,,4656457,10,0
20,,4772073,130,0
21,,4772073,260,0
19,,4772073,40,0
12,,3975087,30,0
20,,3975087,150,0
7,,3975087,110,0
1,,3975087,110,0
18,,3975087,260,0
15,,3975087,110,0
16,,3975087,150,0
13,,3975087,30,0
19,,4773579,50,0
17,,4773579,50,0
12,,4684656,230,0
14,,4684656,150,0
2,,4684656,10,0
20,,4684656,80,0
21,,4684656,150,0
19,,4684656,10,0
18,,4684656,10,0
15,,4684656,10,0
6,,4684656,10,0
1,,4780781,100,0
3,,4780781,80,0
17,,4780781,10,0
15,,4586931,340,0
6,,4586931,30,0
14,,4445665,15000,6000
21,,4445665,30000,12000
9,,4445665,65000,26000
3,,4445665,75000,30000
15,,4445665,120000,48000
13,,4445665,160000,64000
16,,4610745,300,60
13,,4610745,550,110
4,,4610745,100,20
20,,4581682,120,0
21,,4581682,100,0
19,,4581682,10,0
12,,3846137,100,20
14,,3846137,50,10
20,,3846137,200,40
21,,3846137,100,20
7,,3846137,350,70
9,,3846137,200,40
1,,3846137,600,120
3,,3846137,400,80
18,,3846137,950,190
15,,3846137,650,130
16,,3846137,800,160
13,,3846137,350,70
1,,4891728,1050,210
3,,4891728,600,120
17,,4891728,50,10
18,,4891728,900,180
15,,4891728,650,130
6,,4891728,50,10
1,,4876737,550,110
3,,4876737,400,80
17,,4876737,50,10
18,,4876737,700,140
15,,4876737,700,140
6,,4876737,150,30
16,,4876737,200,40
13,,4876737,200,40
4,,4876737,50,10
9,,4807954,200,0
5,,4807954,40,0
12,,3853009,100,0
14,,3853009,220,0
20,,3853009,120,0
21,,3853009,200,0
7,,3853009,50,0
9,,3853009,110,0
1,,3853009,30,0
3,,3853009,50,0
18,,3853009,10,0
15,,3853009,30,0
9,,4801237,200,0
5,,4801237,200,0
12,,3708308,60,0
14,,3708308,20,0
20,,3708308,150,0
21,,3708308,20,0
7,,3708308,130,0
9,,3708308,60,0
1,,3708308,220,0
3,,3708308,60,0
18,,3708308,170,0
15,,3708308,60,0
12,,3577823,120,0
14,,3577823,70,0
20,,3577823,150,0
21,,3577823,40,0
7,,3577823,160,0
9,,3577823,60,0
1,,3577823,120,0
3,,3577823,60,0
18,,3577823,80,0
15,,3577823,40,0
16,,3577823,10,0
13,,3577823,10,0
20,,4631300,120,0
21,,4631300,120,0
19,,4631300,10,0
20,,4708636,140,0
21,,4708636,70,0
19,,4708636,10,0
18,,4727856,5500,1100
15,,4727856,8500,1700
6,,4727856,1500,300
16,,4727856,11000,2200
13,,4727856,9500,1900
4,,4727856,3000,600
12,,4838968,80,0
14,,4838968,200,0
2,,4838968,20,0
12,,4525218,130,0
14,,4525218,180,0
20,,4525218,150,0
21,,4525218,180,0
7,,4525218,80,0
9,,4525218,110,0
1,,4525218,30,0
3,,4525218,40,0
18,,4525218,10,0
15,,4525218,30,0
13,,4525218,10,0
20,,4872536,130,0
21,,4872536,160,0
19,,4872536,20,0
20,,4698020,110,0
21,,4698020,20,0
19,,4698020,10,0
7,,4698020,20,0
9,,4698020,130,0
5,,4698020,10,0
1,,4698020,80,0
3,,4698020,70,0
17,,4698020,10,0
16,,4698020,90,0
13,,4698020,120,0
4,,4698020,10,0
12,,4360960,120,0
14,,4360960,80,0
20,,4360960,140,0
21,,4360960,80,0
7,,4360960,110,0
9,,4360960,90,0
1,,4360960,100,0
3,,4360960,60,0
18,,4360960,60,0
15,,4360960,30,0
6,,4360960,10,0
16,,4360960,10,0
13,,4360960,10,0
6,,4578015,200,0
20,,2533682,1000,0
16,,4833278,120,0
13,,4833278,380,0
4,,4833278,30,0
20,,4683850,100,0
21,,4683850,60,0
19,,4683850,20,0
20,,4650111,60,0
21,,4650111,20,0
19,,4650111,20,0
12,,4248953,60000,30000
14,,4248953,54000,27000
20,,4248953,20000,10000
21,,4248953,36000,18000
7,,4248953,4000,2000
9,,4248953,16000,8000
3,,4248953,2000,1000
18,,4846347,160,0
15,,4846347,140,0
6,,4846347,10,0
16,,4846347,180,0
13,,4846347,80,0
4,,4846347,10,0
12,,2431977,550,110
14,,2431977,400,80
20,,2431977,600,120
21,,2431977,500,100
7,,2431977,500,100
9,,2431977,450,90
1,,2431977,350,70
3,,2431977,450,90
18,,2431977,500,100
15,,2431977,400,80
1,,4797758,150,0
3,,4797758,90,0
17,,4797758,10,0
1,,4653285,160,0
3,,4653285,30,0
17,,4653285,10,0
12,,4605276,200,0
14,,4605276,180,0
2,,4605276,10,0
9,,4608523,250,0
5,,4608523,250,0
16,,4765227,310,0
13,,4765227,630,0
4,,4765227,40,0
7,,4785637,50,0
9,,4785637,130,0
5,,4785637,10,0
12,,3788039,7000,1400
14,,3788039,5000,1000
20,,3788039,8000,1600
21,,3788039,5000,1000
7,,3788039,4500,900
9,,3788039,4000,800
1,,3788039,3500,700
3,,3788039,3500,700
18,,3788039,2500,500
15,,3788039,3000,600
16,,3788039,500,100
13,,3788039,1000,200
15,,4652624,420,0
6,,4652624,140,0
12,,4682322,650,0
14,,4682322,330,0
2,,4682322,10,0
12,,4229716,400,80
14,,4229716,350,70
20,,4229716,350,70
21,,4229716,450,90
7,,4229716,200,40
9,,4229716,450,90
1,,4229716,150,30
3,,4229716,550,110
18,,4229716,200,40
15,,4229716,650,130
16,,4229716,250,50
13,,4229716,600,120
16,,5014905,540,1
13,,5014905,440,0
4,,5014905,10,0
18,,4750924,10,0
15,,4750924,40,0
6,,4750924,10,0
4,,4750924,10,0
12,,4645641,220,0
14,,4645641,260,0
2,,4645641,10,0
20,,4645641,200,0
21,,4645641,240,0
19,,4645641,30,0
18,,4621263,900,180
15,,4621263,800,160
6,,4621263,50,10
12,,3976818,20,0
14,,3976818,30,0
20,,3976818,70,0
21,,3976818,30,0
7,,3976818,170,0
9,,3976818,120,0
1,,3976818,280,0
3,,3976818,220,0
12,,3908636,70,0
14,,3908636,10,0
2,,3908636,10,0
20,,3908636,90,0
21,,3908636,20,0
7,,3908636,230,0
9,,3908636,20,0
1,,3908636,230,0
3,,3908636,20,0
18,,3908636,50,0
15,,3908636,10,0
16,,3908636,120,0
13,,3908636,40,0
18,,3802702,180,0
15,,3802702,360,0
16,,3802702,220,0
13,,3802702,220,0
12,,4588689,70,0
14,,4588689,140,0
2,,4588689,10,0
12,,4837809,130,0
14,,4837809,80,0
2,,4837809,10,0
20,,4837809,100,0
21,,4837809,130,0
19,,4837809,10,0
7,,4837809,30,0
9,,4837809,80,0
5,,4837809,10,0
12,,4394008,160,0
14,,4394008,60,0
20,,4394008,90,0
21,,4394008,30,0
7,,4394008,100,0
9,,4394008,90,0
1,,4394008,90,0
3,,4394008,160,0
17,,4394008,10,0
18,,4394008,70,0
15,,4394008,70,0
7,,4826942,120,0
9,,4826942,50,0
5,,4826942,10,0
12,,4135314,700,350
14,,4135314,1300,650
20,,4135314,700,350
21,,4135314,1900,950
7,,4135314,500,250
9,,4135314,1700,850
1,,4135314,200,100
3,,4135314,1000,500
18,,4135314,100,50
15,,4135314,1100,550
13,,4135314,100,50
18,,5042857,1250,250
15,,5042857,900,180
6,,5042857,50,10
1,,4661476,70,0
3,,4661476,150,0
17,,4661476,70,0
18,,4651982,430,0
15,,4651982,130,0
6,,4651982,30,0
16,,4651982,300,0
13,,4651982,80,0
4,,4651982,20,0
20,,4899766,100,0
21,,4899766,100,0
19,,4899766,10,0
16,,4899766,10,0
13,,4899766,20,0
4,,4899766,10,0
2,,4831614,20,0
1,,4770742,180,0
3,,4770742,120,0
17,,4770742,10,0
12,,4672040,310,0
14,,4672040,80,0
2,,4672040,10,0
12,,4293837,100,50
14,,4293837,100,50
20,,4293837,300,150
21,,4293837,300,150
7,,4293837,500,250
9,,4293837,600,300
1,,4293837,1100,550
3,,4293837,1200,600
18,,4293837,1500,750
15,,4293837,1800,900
16,,4293837,1000,500
13,,4293837,900,450
18,,4571371,220,0
15,,4571371,140,0
6,,4571371,10,0
18,,3633932,1000,0
7,,4685506,90,0
9,,4685506,40,0
5,,4685506,10,0
7,,4904953,80,0
9,,4904953,300,0
5,,4904953,20,0
12,,4786278,80,0
14,,4786278,50,0
2,,4786278,20,0
20,,4719887,410,0
21,,4719887,560,0
19,,4719887,10,0
18,,4739228,950,190
15,,4739228,900,180
6,,4739228,100,20
16,,4739228,500,100
13,,4739228,300,60
4,,4739228,50,10
1,,4884275,130,0
3,,4884275,100,0
17,,4884275,30,0
20,,3123368,160,0
3,,3123368,160,0
18,,3123368,160,0
15,,3123368,500,0
12,,4667954,220,0
14,,4667954,100,0
2,,4667954,10,0
20,,4667954,200,0
21,,4667954,100,0
19,,4667954,10,0
18,,4627275,140,0
15,,4627275,210,0
6,,4627275,70,0
7,,4685816,20,0
9,,4685816,50,0
5,,4685816,10,0
18,,4914018,400,80
15,,4914018,600,120
6,,4914018,50,10
18,,4610915,90,0
15,,4610915,140,0
6,,4610915,10,0
12,,4667866,23000,4600
14,,4667866,4500,900
2,,4667866,500,100
1,,4752346,230,0
3,,4752346,160,0
17,,4752346,10,0
18,,4754173,750,150
15,,4754173,1550,310
6,,4754173,50,10
20,,4786160,110,0
21,,4786160,330,0
19,,4786160,110,0
7,,4685247,150,30
9,,4685247,500,100
5,,4685247,50,10
12,,3486401,180,0
14,,3486401,360,0
20,,3486401,180,0
21,,3486401,180,0
9,,3486401,90,0
18,,4610493,170,0
15,,4610493,410,0
6,,4610493,10,0
16,,4821611,80,0
13,,4821611,140,0
4,,4821611,10,0
20,,4695922,120,0
21,,4695922,170,0
19,,4695922,10,0
20,,2887064,550,110
21,,2887064,750,150
7,,2887064,800,160
9,,2887064,1050,210
1,,2887064,550,110
3,,2887064,750,150
18,,2887064,150,30
15,,2887064,150,30
1,,4572301,300,60
3,,4572301,450,90
17,,4572301,50,10
18,,4572301,800,160
15,,4572301,700,140
6,,4572301,50,10
20,,4704823,80,0
21,,4704823,130,0
19,,4704823,10,0
12,,4818802,610,0
14,,4818802,70,0
2,,4818802,70,0
1,,4633746,30,0
3,,4633746,90,0
17,,4633746,10,0
15,,4633746,40,0
6,,4633746,10,0
12,,4788530,140,0
14,,4788530,190,0
2,,4788530,10,0
12,,4637280,3200,640
14,,4637280,1700,340
2,,4637280,50,10
12,,4457378,40,0
14,,4457378,240,0
20,,4457378,120,0
21,,4457378,320,0
9,,4457378,200,0
3,,4457378,40,0
13,,4457378,40,0
12,,4867035,200,0
14,,4867035,170,0
2,,4867035,20,0
12,,3978246,6500,1300
14,,3978246,4000,800
20,,3978246,6500,1300
21,,3978246,6500,1300
7,,3978246,6500,1300
9,,3978246,7500,1500
1,,3978246,4500,900
3,,3978246,6000,1200
12,,4590673,2650,530
14,,4590673,900,180
2,,4590673,50,10
18,,4776526,500,250
15,,4776526,2700,1350
6,,4776526,100,50
19,,4841419,160,0
12,,4927015,80,0
14,,4927015,100,0
2,,4927015,10,0
1,,4601875,1450,290
3,,4601875,1600,320
17,,4601875,50,10
16,,4560526,170,0
13,,4560526,120,0
4,,4560526,10,0
1,,4684473,2150,430
3,,4684473,2700,540
17,,4684473,100,20
12,,4613495,660,0
14,,4613495,320,0
2,,4613495,10,0
12,,4778845,30,0
14,,4778845,50,0
2,,4778845,10,0
18,,4778845,170,0
15,,4778845,100,0
6,,4778845,10,0
7,,4755749,120,0
9,,4755749,30,0
5,,4755749,10,0
1,,4755749,210,0
3,,4755749,100,0
17,,4755749,10,0
18,,4869687,10500,2100
15,,4869687,9000,1800
6,,4869687,500,100
20,,4731111,150,0
21,,4731111,160,0
19,,4731111,10,0
7,,4682241,230,0
9,,4682241,140,0
5,,4682241,20,0
9,,5011714,160,0
5,,5011714,10,0
20,,4622674,40,0
21,,4622674,70,0
19,,4622674,10,0
7,,4758948,100,0
9,,4758948,60,0
5,,4758948,10,0
12,,4708739,140,0
14,,4708739,120,0
2,,4708739,10,0
17,,4577516,40,0
18,,4577516,130,0
15,,4577516,220,0
6,,4577516,40,0
1,,4868193,230,0
3,,4868193,160,0
17,,4868193,20,0
18,,4868193,210,0
15,,4868193,260,0
6,,4868193,10,0
16,,4724041,3300,660
13,,4724041,100,20
4,,4724041,50,10
12,,3969249,7500,3750
14,,3969249,2300,1150
12,,2950633,1000,0
12,,3599936,210,0
14,,3599936,90,0
20,,3599936,130,0
21,,3599936,90,0
7,,3599936,80,0
9,,3599936,100,0
1,,3599936,50,0
3,,3599936,60,0
18,,3599936,30,0
15,,3599936,50,0
16,,3599936,10,0
13,,3599936,20,0
12,,2509497,450,90
14,,2509497,200,40
20,,2509497,900,180
21,,2509497,250,50
7,,2509497,900,180
9,,2509497,200,40
1,,2509497,950,190
3,,2509497,250,50
18,,2509497,500,100
15,,2509497,200,40
12,,4451384,1000,200
14,,4451384,1000,200
20,,4451384,2500,500
21,,4451384,1500,300
7,,4451384,3500,700
9,,4451384,2500,500
1,,4451384,5500,1100
3,,4451384,3000,600
18,,4451384,14000,2800
15,,4451384,3500,700
16,,4451384,7000,1400
13,,4451384,2000,400
12,,4809956,50,0
14,,4809956,90,0
2,,4809956,10,0
12,,4664507,150,0
14,,4664507,170,0
2,,4664507,10,0
7,,4664507,80,0
9,,4664507,50,0
5,,4664507,10,0
20,,3942085,200,40
21,,3942085,200,40
7,,3942085,450,90
9,,3942085,600,120
1,,3942085,750,150
3,,3942085,950,190
18,,3942085,700,140
15,,3942085,900,180
12,,4612196,260,0
14,,4612196,250,0
2,,4612196,10,0
1,,4798177,80,0
3,,4798177,90,0
17,,4798177,10,0
18,,4798177,180,0
15,,4798177,190,0
6,,4798177,20,0
16,,4798177,30,0
13,,4798177,30,0
4,,4798177,10,0
12,,2979220,1000,0
12,,2459291,1400,700
20,,2459291,2200,1100
7,,2459291,2400,1200
1,,2459291,2200,1100
18,,2459291,1300,650
16,,2459291,200,100
18,,4767742,140,0
15,,4767742,140,0
6,,4767742,70,0
1,,5040808,250,0
3,,5040808,140,0
17,,5040808,10,0
12,,4691842,100,0
14,,4691842,190,0
2,,4691842,10,0
18,,4580436,100,0
15,,4580436,200,0
6,,4580436,10,0
12,,4906060,190,0
14,,4906060,190,0
2,,4906060,10,0
12,,4344101,50000,10000
20,,4913562,70,0
21,,4913562,170,0
19,,4913562,10,0
18,,4913562,60,0
15,,4913562,70,0
6,,4913562,10,0
12,,2981661,40,0
14,,2981661,10,0
1,,2981661,30,0
3,,2981661,20,0
18,,2981661,120,0
15,,2981661,290,0
16,,2981661,150,0
13,,2981661,260,0
1,,4755859,50,0
3,,4755859,110,0
17,,4755859,20,0
18,,4755859,200,0
15,,4755859,270,0
6,,4755859,20,0
12,,2413353,550,110
14,,2413353,300,60
20,,2413353,850,170
21,,2413353,450,90
7,,2413353,600,120
9,,2413353,350,70
1,,2413353,550,110
3,,2413353,300,60
18,,2413353,450,90
15,,2413353,250,50
16,,4761140,260,0
13,,4761140,180,0
4,,4761140,10,0
12,,3113973,500,0
14,,3113973,270,0
2,,3113973,10,0
20,,3113973,100,0
21,,3113973,100,0
1,,4631322,530,0
3,,4631322,130,0
17,,4631322,10,0
5,,4714955,60,0
12,,4889317,390,0
14,,4889317,200,0
2,,4889317,10,0
17,,4889317,10,0
18,,4753912,200,0
15,,4753912,240,0
6,,4753912,20,0
20,,4900466,80,0
21,,4900466,250,0
19,,4900466,10,0
1,,4627261,470,0
