nyu_id,name
9953,""
9954,"Friends of Aron Axe, Treasurer Robert Cox"
9955,Truth In Between
9956,Paid for by Hubbell for Governor
9957,"by Jeff Mann, Republican for State Representative, District 56"
9958,Zachary Coleman for Lakeland School Board
9959,the Committee to Elect Leevin Taitano Camacho
9960,Friends of Heidi Kuhn
9961,Liberty Never Sleeps With Thomas Purcell.
9962,District 47 Republicans 
9963,North Carolina Republican Party
9964,"Jones for Missouri, Michael Vierling Treasurer"
9965,Kevin Davis
9966,Out of Context Games LLC
9967,Joe Kennedy for Congress.
9968,Missouri Rising Action. Not authorized by any candidate or candidate committee.
9969,"Environmental Health Sciences, a nonpartisan, nonprofit publisher of science and news on the environment."
9970,Betsy Rader for Congress
9971,Citizens for Yassenoff
9972,Kaysuv Boyina
9973,Monroe Township Democrats 2018
9974,Nancy Pelosi for Congress
9975,Association of Young Americans
9976,"Lane Kilgore 122 CR 14 Muscadine, AL 36269"
9977,STARZ Shows
9978,The Trinity Democratic Club
9979,Carol Murphy for Assembly
9980,Civil Justice Association of California
9981,Greenpeace USA
9982,Gideon Leadership PAC 
9983,Toni for House 2018
9984,"Deb Rey for Maryland, Mary E Coombs Treasurer"
9985,California Charter Schools Association 
9986,Mark Uncapher
9987,"David Adkins for State Representative. Lisa Contreras, Treasurer."
9988,"Protect Freedom PAC and not authorized by any candidate or candidate’s committee.  332 W. Lee Highway #405, Warrenton, VA 20186."
9989,"Spencer Roach, Republican, for Florida House, District 79."
9990,Civil Creative Coalition & Caroline VanZoeren
9991,Pierre Bergeron for Judge
9992,Shepard for Hurst City Council
9993,"Having Kids, Inc. "
9994,CALinnovates
9995,"Pauley for KPUD (NP), PO Box 1883, Silverdale, WA 98383"
9996,Roman McAllen Campaign
9997, Austin Swing for Sheriff
9998,Friends of Michelle Ostrelich
9999,Hello Resistance
10000,Bilirakis for Congress
10001,CT
10002,The Committee to Elect Jessica LaPointe
10003,Mid-Ohio Energy Cooperative 
10004,"Friends of Ysela Bravo-Schwetje; Treasurer, Danielle, Konstandinidis"
10005,the Harrison County Young Republicans
10006,the Louisiana Chemical Association
10007,Tim Edgar
10008,Alicia for Assembly 2018
10009,All-Options
10010,Christopher Mills
10011,Committee to elect Zach Lahring
10012,Citizens for Theresa Schmitt
10013,David Kim for Congress
10014,Rita Lucido for SD 17 
10015,Pocekay for Council 2018
10016,Friends of Stacelynn Eli 
10017,The Committee to Elect Jonathan Ambler
10018,OZY Media
10019,"Paid for and approved by Christian Ziegler, Republican for Sarasota County Commission, District 2"
10020,Republican Party of Story County
10021,John Magnuson for Douglas County Commission
10022,Equality Utah
10023,Friends of Joe Pinion
10024,Friends of Mark Pinsley
10025,Paid for by Friends of Ginny Ehrhart
10026,Federal Voting Assistance Program
10027,"The Mike Pusley Campaign, Paul Peeler Treasurer"
10028,Collier for Congress
10029,"Committee to Elect Charlie Susano, T. Dean LaRue Treasurer"
10030,Paul Gonzales for Santa Ana City Council 2018
10031,"Phil Sims Guntersville, Al. 35976"
10032,Friends of Bruce for AD29
10033,ACLU of Colorado
10034,The Committee to Elect Darrin Gamradt
10035,Kathy Mohr-Almeida for Senate LD25
10036,the Economic Security Fund
10037,Samuel Chu
10038,Callaway Electric Cooperative
10039,SEIU Healthcare Minnesota 
10040,Yahya Yuksel for Congress
10041,Loudon County Democratic Party
10042,Humane Society International
10043,Andy Cadena for SLO County Superior Court Judge 2018 FPPC#1403490
10044,the Committee to Elect Ralph Innes Butler County Associate Circuit Judge Treasurer Eric Schalk 
10045,the Committee to Elect Matthew Hagen for Probate Judge of Isabella County
10046,Larry Bodine
10047,Gene Fuss
10048,No one - my personal opinons
10049,Ripley for Arizona.  Approved by Catherine Ripley.
10050,Tennesseans for Student Success
10051,justCARE
10052,Jordan Beane for City Council 
10053,"Ed Emmett Campaign, Tom Kennedy, Treasurer 2726 Bissonnet, Suite 240-144 Houston, TX 77005"
10054,"Neighbors for Hodan, P.O. Box 80814 Minneapolis, MN 55408"
10055,Lina Hidalgo for Harris County
10056,AARP Hawaii
10057,McGuire for Governor
10058,Friends of Joe Cibellis for Oceanside Sanitation
10059,"Bob Hugin for Senate, Inc."
10060,EPIC
10061,"American Federation of State, County & Municipal Employees"
10062,Flewellen For Sheriff- Amy Addis Treasurer
10063,"by GroundUp. Not authorized by any campaign, committee, or PAC."
10064,Cris Dosev for Congress
10506,Newton Residents for Fairness
10065,the Christian County Republican Central Committee
10066,"Park for Platte (Park4Platte), Wanda Park, Treasurer"
10067,Paid for by the committee to elect John Bradley 
10068,"Friends of Joseph Hennessey, Ann Bittman Treasurer"
10069,Friends of Mitchell T Tracy
10070,Daniel Berry
10071,Friends of Dan McKee
10072,House Majority PAC and Priorities USA Action. Not authorized by any candidate or candidate's committee.
10073,Steve Sheldon for State Representative campaign
10074,Friends for Mike LiPetri
10075,Lynn Compton for Supervisor 2018
10076,"and approved by Matt Nye, Republican for Florida House of Representatives, District 52"
10077,Paid for by the Neighbors of Frances Akridge
10078,Adrian Hernandez for Pearland City Council
10079,Love for NC
10080,Authorized and paid for by Melanie Spoon for House of Representatives 2018
10081,"Democratic Environmental Caucus of Florida, Pasco Chapter"
10082,the Tennessee Democratic Party
10083,"Tad Schnaufer, Republican, for Lake County Commissioner, District 2. Use of his rank, job titles, and photographs in uniform do not imply endorsement by the U.S. Army or Department of Defense."
10084,Brandon Barnes for Sutter County Sheriff 2018
10085,John Cox for Governor 2018
10086,Friends of Miracle Hurley
10087,john deprospo
10088,Straight Twist
10089,"Missourians for Sean Smith, Rusty Brown Treasurer"
10090,The Colorado Working Families Party IE Committee. Not authorized by any candidate or candidate's committee
10091,The Shimoni Campaign Committee
10092,the Stuart A. Starr Campaign Fund
10093,Kankakee Valley REMC 
10094,Friends of Deb Patterson 
10095,Bruce Berry for Commissioner Committee
10096,Democrats for Garwood
10097,Change Annapolis PAC
10098,"the Committee to Elect Dave Ellis, Non-Partisan, 6th Circuit Court Judge, Group 4"
10099,"Shevrin Jones, Democrat for Florida House, District 101"
10100,The Committee to Elect Brencis D Smith
10101,Jim Coppinger 
10102,Chris Brown
10103,"Kewaunee County Republican Party, Adam Schlies, Treasurer"
10104,the Committee to Elect Rod Pelton
10105,Tony for Wisconsin
10106,The Humane League
10107,Aleisha Karjala for State Senate
10108,Christopher Taylor for Mayor
10109,Climate Hawks Vote Political Action. Not authorized by any candidate or candidate's committee.
10110,The Committee for Ranked Choice Voting
10111,"Mike Callton For State Senate, P.O. Box 676, Nashville, MI 49073"
10112,NICK FREITAS FOR U.S. SENATE
10113,Emerge America
10114,Oklahomans for Mick Cornett 2018
10115,SAM Action
10116,"Clinton House Museum, a private, nonprofit, nonpartisan organization."
10117,"Ruta Maria Jouniari, Democrat for Sarasota County Commission, District 2"
10118,Friends of Natalie Iwasa
10119,Citizens for Tom Morrison
10120,Politics and Cocktails
10121,"Greitens for Missouri, Jeff Stuerman, Treasurer"
10122,NYC Department of Health and Mental Hygiene
10123,CTE Paul Wojno for State Senate
10124,AARP Idaho
10125,Alex Carter For State House
10126,"with regulated funds by Partners for Transit Ballot Committee, P.O. Box 8093, Ann Arbor, MI 48107"
10127,Victoria Foley and authorized by Victoria Foley
10128,Citizens for Fernandez
10129,the Turner Campaign
10130,FileRight
10131,Elect Chris Head
10132,Ben & Jerry's
10133,Citizens for Dan Cronin
10134,"Friends of Joe Gagnon, Gerald Snodgrass, Treasurer"
10135,John Mannone
10136,Princess 
10137,Ryan A. Farber For President
10138,Gearman for Sheriff
10139,Walton Family Foundation
10140,Driving Arkansas Forward
10141,Re-elect Jim Beckert
10142,Committe to Elect Dan Caulkins
10143,"Rebecca Purington Campaign.  Missy Horesh, Treasurer"
10144,Young Kim for Congress
10145,Adam Milasincic Campaign
10146,Friends of Ryan LoRee
10147,Friends of David Seman
10148,Provenzano for House District 79 2018
10149,Derek Armstead
10150,Naytev
10151,Friends of Dan Feehan
10152,Paid for by Emerge Maryland
10153,Party People
10154,Duty and Country. Not authorized by any candidate or candidate’s committee.
10155,George Hansel for Keene
10156,The Future of Nursing: Campaign for Action 
10157,Ty Bodden for Wisconsin
10158,The Moscow Project
10159,Marc Sobel for Supervisor 2018 ID#1391488
10160,Yes on Proposition 68 
10161,Frontier Fairness PAC
10162,Carl Carter for Alabama Senate 11
10163,Issue One Action
10164,American Military News LLC
10165,Committee to Elect Adam Burkemper Circuit Judge
10166,"the Committee to Elect Spiro, 2153 Government St. Mobile, AL 36606"
10167,"This message has been authorized and paid for by Republican Governors Association, Michael G. Adams, Treasurer. This message has not been authorized or approved by any candidate or ballot issue committee."
10168,Jake Botticello
10169,Kitchen for Court of Appeals Committee
10170,"Mary Fasbender for Hastings Mayor, 521 W. 13th St., Hastings, MN 55033. Copyright 2018."
10171,Friends of Matt Jensen
10172,Stockstill for Congress
10173,"KELLI WARD FOR SENATE, INC."
10174,Private
10175,the Competitive Enterprise Institute 
10176,The Patriot Center
10177,Paid for by Communications Workers of America COPE Account
10178,Buckley For House 2018
10179,Progressive Consulting Strategies
